,Date,Round,Comment,Winner,Loser,MaxW,MaxL,ProbaWinner,ProbaLoser,PariW,PariL,Gains
72,29/05/13,2nd Round,Completed,Vinci R.,Voskoboeva G.,1.32,4.95,0.566611852769225,0.433388147230775,0,0,0
73,29/05/13,2nd Round,Completed,Cetkovska P.,Pavlyuchenkova A.,2.88,1.55,NA,NA,0,0,0
74,29/05/13,2nd Round,Completed,Cirstea S.,Larsson J.,1.58,2.8,0.461043332084917,0.538956667915083,0,1,-1
75,29/05/13,2nd Round,Completed,Razzano V.,Kucova Z.,1.73,2.46,0.386320276530182,0.613679723469818,0,1,-1
76,29/05/13,2nd Round,Completed,Lisicki S.,Torro Flor M.T.,1.4,3.75,0.501200618468251,0.498799381531749,0,0,0
77,29/05/13,2nd Round,Completed,Williams S.,Garcia C.,1.02,56,0.921025593321512,0.0789744066784878,0,0,0
78,29/05/13,2nd Round,Completed,Errani S.,Putintseva Y.,1.14,8,0.744388587310171,0.255611412689829,0,0,0
79,29/05/13,2nd Round,Completed,Puig M.,Keys M.,2.3,1.77,0.0214586619470071,0.978541338052993,0,1,-1
80,29/05/13,2nd Round,Completed,Ivanovic A.,Johansson M.,1.14,9,0.64203137365785,0.35796862634215,0,0,0
81,30/05/13,2nd Round,Completed,Stosur S.,Mladenovic K.,1.2,6.48,0.898141560894883,0.101858439105117,1,0,0.2
82,30/05/13,2nd Round,Completed,Ormaechea P.,Shvedova Y.,2.66,1.63,0.503314756749177,0.496685243250823,1,0,1.66
83,30/05/13,2nd Round,Completed,Zheng J.,Oudin M.,1.64,2.66,0.751462457646465,0.248537542353535,1,0,0.64
84,30/05/13,2nd Round,Completed,Erakovic M.,Cibulkova D.,6.52,1.23,0.321603242977672,0.678396757022328,0,0,0
85,30/05/13,2nd Round,Completed,Jankovic J.,Muguruza G.,1.26,5.1,NA,NA,0,0,0
86,30/05/13,2nd Round,Completed,Mattek-Sands B.,Li N.,5.2,1.27,0.498772356923864,0.501227643076136,0,0,0
87,30/05/13,2nd Round,Completed,Stephens S.,King V.,1.47,3.1,0.28203476885446,0.71796523114554,0,1,-1
88,30/05/13,2nd Round,Completed,Hampton J.,Schmiedlova A.,1.72,2.38,NA,NA,0,0,0
89,30/05/13,2nd Round,Completed,Azarenka V.,Beck A.,1.03,34,0.7145326741335,0.2854673258665,0,0,0
90,30/05/13,2nd Round,Completed,Kvitova P.,Peng S.,1.55,2.88,NA,NA,0,0,0
91,30/05/13,2nd Round,Completed,Cornet A.,Soler Espinosa S.,1.54,2.86,0.650238883528862,0.349761116471138,1,0,0.54
92,31/05/13,2nd Round,Completed,Bartoli M.,Duque Marino M.,1.77,2.38,0.652380956774846,0.347619043225154,1,0,0.77
93,31/05/13,2nd Round,Completed,Kirilenko M.,Barty A.,1.15,7.5,NA,NA,0,0,0
94,31/05/13,2nd Round,Completed,Sharapova M.,Bouchard E.,1.04,23.5,0.902428859843185,0.0975711401568151,0,0,0
95,31/05/13,2nd Round,Completed,Schiavone F.,Flipkens K.,1.81,2.25,0.521876301954876,0.478123698045124,0,0,0
96,31/05/13,2nd Round,Completed,Voegele S.,Kanepi K.,9,1.13,0.838680163239144,0.161319836760856,1,0,8
97,31/05/13,3rd Round,Completed,Williams S.,Cirstea S.,1.03,37,0.889148125465728,0.110851874534272,0,0,0
98,31/05/13,3rd Round,Completed,Errani S.,Lisicki S.,1.45,3.5,0.618351994040068,0.381648005959932,0,0,0
99,31/05/13,3rd Round,Completed,Kerber A.,Lepchenko V.,1.63,2.56,0.683426907078999,0.316573092921001,1,0,0.63
100,31/05/13,3rd Round,Completed,Suarez Navarro C.,Puig M.,1.38,4.01,0.294916903116855,0.705083096883145,0,1,-1
101,31/05/13,3rd Round,Completed,Ivanovic A.,Razzano V.,1.15,8.19,0.877365864533261,0.122634135466739,1,0,0.15
102,31/05/13,3rd Round,Completed,Vinci R.,Cetkovska P.,1.5,3.1,NA,NA,0,0,0
103,31/05/13,3rd Round,Completed,Kuznetsova S.,Jovanovski B.,1.3,4.4,0.766784628398954,0.233215371601046,0,0,0
104,31/05/13,3rd Round,Completed,Radwanska A.,Pfizenmaier D.,1.15,8.19,0.734435799203841,0.265564200796159,0,0,0
105,01/06/13,3rd Round,Completed,Azarenka V.,Cornet A.,1.06,16,0.751421612637401,0.248578387362599,0,0,0
106,01/06/13,3rd Round,Completed,Stephens S.,Erakovic M.,1.34,4,0.535508219120064,0.464491780879936,0,0,0
107,01/06/13,3rd Round,Completed,Mattek-Sands B.,Ormaechea P.,1.43,3.4,0.649349182143744,0.350650817856256,0,0,0
108,01/06/13,3rd Round,Completed,Sharapova M.,Zheng J.,1.06,19,0.864402749719611,0.135597250280389,0,0,0
109,01/06/13,3rd Round,Completed,Schiavone F.,Bartoli M.,1.57,2.95,0.582380020842261,0.417619979157739,0,0,0
