,Date,Round,Comment,Winner,Loser,MaxW,MaxL,ProbaWinner,ProbaLoser,PariW,PariL,Gains,NbOppCom
107,31/08/13,3rd Round,Completed,Riske A.,Kvitova P.,3.6,1.42,0.835607418113796,0.164392581886204,1,0,2.6,3
108,31/08/13,3rd Round,Completed,Ivanovic A.,Mchale C.,1.18,7.05,0.871690446640818,0.128309553359182,1,0,0.18,12
109,31/08/13,3rd Round,Completed,Azarenka V.,Cornet A.,1.08,14.5,0.879353151585063,0.120646848414937,0,0,0,11
110,31/08/13,3rd Round,Completed,Hantuchova D.,Glushko J.,1.45,3.55,0.703896668799136,0.296103331200864,0,1,-1,2
111,01/09/13,3rd Round,Completed,Giorgi C.,Wozniacki C.,6.35,1.22,0.0780656853476545,0.921934314652346,0,1,-1,1
112,01/09/13,3rd Round,Completed,Vinci R.,Knapp K.,1.5,3.13,0.640510423410778,0.359489576589222,0,0,0,4
113,01/09/13,4th Round,Completed,Suarez Navarro C.,Kerber A.,2.88,1.62,0.367025921238212,0.632974078761788,1,0,1.88,9
114,01/09/13,4th Round,Completed,Williams S.,Stephens S.,1.13,10.5,0.812624528208999,0.187375471791001,0,0,0,16
115,02/09/13,4th Round,Completed,Makarova E.,Radwanska A.,4.65,1.25,0.313092975318964,0.686907024681036,0,0,0,16
116,02/09/13,4th Round,Completed,Li N.,Jankovic J.,1.44,3.5,0.687369574079895,0.312630425920105,0,0,0,9
117,02/09/13,4th Round,Completed,Vinci R.,Giorgi C.,1.53,3.29,0.950555670754918,0.0494443292450818,1,0,0.53,1
118,02/09/13,4th Round,Completed,Hantuchova D.,Riske A.,2.38,1.79,0.0686587948800737,0.931341205119926,0,1,-1,6
119,02/09/13,4th Round,Completed,Pennetta F.,Halep S.,4,1.33,0.640392446489158,0.359607553510842,1,0,3,12
120,03/09/13,4th Round,Completed,Azarenka V.,Ivanovic A.,1.18,6.3,0.73611648603611,0.26388351396389,0,0,0,20
121,03/09/13,Quarterfinals,Completed,Li N.,Makarova E.,1.39,4,0.53276981774002,0.46723018225998,0,0,0,9
122,04/09/13,Quarterfinals,Completed,Williams S.,Suarez Navarro C.,1.06,20.7,0.901316604175024,0.0986833958249763,0,0,0,10
123,04/09/13,Quarterfinals,Completed,Pennetta F.,Vinci R.,2.16,1.95,0.386999244552338,0.613000755447662,0,1,-1,13
124,05/09/13,Quarterfinals,Completed,Azarenka V.,Hantuchova D.,1.12,9,0.824133238524191,0.175866761475809,0,0,0,11
125,06/09/13,Semifinals,Completed,Azarenka V.,Pennetta F.,1.35,4.5,0.795114003915009,0.204885996084991,1,0,0.35,15
126,06/09/13,Semifinals,Completed,Williams S.,Li N.,1.22,6.3,0.644531218293599,0.355468781706401,0,0,0,15
127,08/09/13,The Final,Completed,Williams S.,Azarenka V.,1.32,4.4,0.526480832742456,0.473519167257544,0,0,0,17
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,ROI : 33 %,,,,,
,,,,,,,,Accuracy:73 %,,,,,
,,,,,,,,Paris gagnés : 53 %,,,,,
,,,,,,,,Nombre de paris : 51,,,,,
