,Date,Round,Comment,Winner,Loser,MaxW,MaxL,ProbaWinner,ProbaLoser,PariW,PariL,Gains
93,17/01/13,2nd Round,Completed,Wozniacki C.,Vekic D.,1.2,9,0.961743424385694,0.0382565756143058,1,0,0.2
94,17/01/13,2nd Round,Completed,Jovanovski B.,Safarova L.,2.84,1.63,0.219297004980588,0.780702995019412,0,1,-1
95,17/01/13,2nd Round,Completed,Stephens S.,Mladenovic K.,1.18,7.1,0.581577997539753,0.418422002460247,0,0,0
96,17/01/13,2nd Round,Completed,Robson L.,Kvitova P.,3.35,1.55,0.851488567244546,0.148511432755454,1,0,2.35
97,18/01/13,3rd Round,Completed,Goerges J.,Zheng J.,1.7,2.56,0.421696638918198,0.578303361081802,0,1,-1
98,18/01/13,3rd Round,Completed,Kerber A.,Keys M.,1.45,3.8,0.641301245167944,0.358698754832056,0,0,0
99,18/01/13,3rd Round,Completed,Makarova E.,Bartoli M.,2.7,1.71,0.854305758589787,0.145694241410213,1,0,1.7
100,18/01/13,3rd Round,Completed,Radwanska A.,Watson H.,1.07,20,0.656400970422312,0.343599029577688,0,0,0
101,18/01/13,3rd Round,Completed,Ivanovic A.,Jankovic J.,1.44,3.55,0.535450979223882,0.464549020776118,0,0,0
102,18/01/13,3rd Round,Completed,Li N.,Cirstea S.,1.1,10.5,0.664455547416251,0.335544452583749,0,0,0
103,18/01/13,3rd Round,Completed,Flipkens K.,Savinykh V.,1.25,5.5,0.450800340112657,0.549199659887343,0,1,-1
104,18/01/13,3rd Round,Completed,Sharapova M.,Williams V.,1.26,5.5,0.421469307314286,0.578530692685714,0,1,-1
105,19/01/13,3rd Round,Completed,Azarenka V.,Hampton J.,1.05,24,0.865819205518899,0.134180794481101,0,0,0
106,19/01/13,3rd Round,Completed,Kuznetsova S.,Suarez Navarro C.,1.22,5.5,0.696174531404696,0.303825468595304,0,0,0
107,19/01/13,3rd Round,Completed,Kirilenko M.,Wickmayer Y.,1.57,2.75,0.562622112360373,0.437377887639627,0,0,0
108,19/01/13,3rd Round,Completed,Vesnina E.,Vinci R.,1.82,2.34,0.0333634407229624,0.966636559277038,0,1,-1
109,19/01/13,3rd Round,Completed,Williams S.,Morita A.,1.02,41,0.746366867710521,0.253633132289479,0,0,0
110,19/01/13,3rd Round,Completed,Wozniacki C.,Tsurenko L.,1.15,8.7,NA,NA,0,0,0
111,19/01/13,3rd Round,Completed,Stephens S.,Robson L.,1.57,3.2,0.100209998781522,0.899790001218478,0,1,-1
112,19/01/13,3rd Round,Completed,Jovanovski B.,Date Krumm K.,2.1,1.89,0.45117818367157,0.54882181632843,0,1,-1
113,20/01/13,4th Round,Completed,Makarova E.,Kerber A.,4.65,1.38,0.872061224743827,0.127938775256173,1,0,3.65
114,20/01/13,4th Round,Completed,Sharapova M.,Flipkens K.,1.04,31.5,0.677319448039766,0.322680551960234,0,0,0
115,20/01/13,4th Round,Completed,Li N.,Goerges J.,1.25,5.85,0.638046322805412,0.361953677194588,0,0,0
116,20/01/13,4th Round,Completed,Radwanska A.,Ivanovic A.,1.25,5.1,0.600887812425344,0.399112187574656,0,0,0
117,21/01/13,4th Round,Completed,Kuznetsova S.,Wozniacki C.,2.56,1.69,0.049590071574883,0.950409928425117,0,1,-1
